Name,Type,System,Planet,Moon,Place
Aciedo Comm,Space station,Odin,,,
Adira Falls,,,,,
AMA 045,Outpost,Stanton,ArcCorp,Wala,
AMA 048,Outpost,Stanton,ArcCorp,Cellin,
AMA 056,Outpost,Stanton,ArcCorp,Wala,
AMA 061,Outpost,Stanton,ArcCorp,Wala,
AMA 141,Outpost,Stanton,ArcCorp,Daymar,
AMA 157,Outpost,Stanton,ArcCorp,Cellin,
Archangel,Space station,Chronos,Synthworld,,
Archon Base,Space station,,,,
Archon,Space station,Odin,The Coil,,
ARC-L1 Wide Forest Station,Space station,Stanton,,,
ARC-L2 Lively Pathway Station,Space station,Stanton,,,
ARC-L3 Modern Express Station,Space station,Stanton,,,
ARC-L4 Faint Glen Station,Space station,Stanton,,,
ARC-L5 Yellow Core Station,Space station,Stanton,,,
Area 18,City,Stanton,ArcCorp,,
Ashburn Channel,Outpost,Stanton,Hurston,Aberdeen,
Aspire Grand,,,,,
Aston Ridge,Outpost,Stanton,,Yela,
Attritus OLP,Space station,,,,
Attritus PAF-I,Outpost,Stanton,Crusader,Cellin,
Attritus PAF-II,Outpost,Stanton,microTech,Calliope,
Attritus PAF-III,Outpost,,,,
Bacchus Flotilla,Space station,Bacchus,,,
Baijini Point,Space station,Stanton,ArcCorp (planet),,
Banu,Space station,Trise,Trise I,,
Barton Flats,Outpost,Stanton,,Aberdeen,
Benny Henge,Landmark,Stanton,Crusader,Cellin,
Benson Mining Outpost,Outpost,Stanton,,Yela,
Bevic Convention Center,Convention center,Stanton,ArcCorp,,Area18
Bountiful Harvest Hydroponics,Outpost,Stanton,,Daymar,
Brentworth (New Babbage),,Stanton,Crusader,Cellin,
Brio's Breaker Yard,Outpost,Stanton,Crusader,Cellin,
Bud's Growery,Outpost,Stanton,,Euterpe,
Buloi Arena,Space station,Yulin,Yulin II,,
Café Musain,Bar,Nyx,Delamar,,Levski
Calhoun Pass,Outpost,Stanton,microTech,,
Caplan Circuit,,,,,
CBD (Lorville),,Stanton,Crusader,Daymar,
Chairman's Club (Lorville),Lounge,Stanton,Crusader,Daymar,Lorville
Chairman's Club (Orison),Lounge,Stanton,Crusader,Daymar,Orison
Checkmate,Space station,Pyro,Monox,,
Clear View,Outpost,Stanton,Crusader,Daymar,
Cloudview Center,,Stanton,Crusader,Daymar,
ST1-02,Space station,Stanton,Hurston,Ita,
ST1-13,Space station,Stanton,Hurston,Arial,
ST1-48,Space station,Stanton,Hurston,Magda,
ST1-61,Space station,Stanton,Hurston,,
ST1-92,Space station,Stanton,Hurston,Aberdeen,
ST2-28,Space station,Stanton,Hurston,Aberdeen,
ST2-47,Space station,Stanton,microTech,Calliope,
ST2-55,Space station,Stanton,Crusader,,
ST2-76,Space station,Stanton,Crusader,Cellin,
ST3-18,Space station,Stanton,ArcCorp,Lyria,
ST3-35,Space station,Stanton,ArcCorp,Wala,
ST3-90,Space station,Stanton,ArcCorp,,
ST4-22,Space station,Stanton,microTech,,
ST4-31,Space station,Stanton,microTech,Calliope,
ST4-59,Space station,Stanton,microTech,Clio,
ST4-64,Space station,Stanton,microTech,Euterpe,
Covalex Shipping Hub Gundo,Space station,Stanton,Crusader,Daymar,
Covalex Shipping Hub Xenia,Space station,Baker,,,
CRU-L1 Ambitious Dream Station,Space station,Stanton,,,
CRU-L4 Shallow Fields Station,Space station,Stanton,,,
CRU-L5 Beautiful Glen Station,Space station,Stanton,,,
Crusader Discovery,,,,,
CI Showroom,,,,,
Cry-Astro 042,Space station,Stanton,Crusader,,
Cry-Astro 151,Space station,Stanton,Crusader,,
Cry-Astro 262,Space station,Stanton,Crusader,,
Deakins,Outpost,Stanton,,Yela,
Desmond Memorial Convention Center,Convention center,Stanton,Crusader,Daymar,Lorville
Devlin Scrap & Salvage,Outpost,Stanton,Crusader,Daymar,
Distribution centers,,,,,
Downed Relay AC-652,,,,,
Dudley & Daughters,Space station,,,,
Dunlow Ridge,Outpost,Stanton,,Daymar,
Eager Flats,Outpost,Stanton,Crusader,Daymar,
Elsewhere,Outpost,Stanton,Crusader,Daymar,
Empire Health Services,,,,,
Encole,Space station,Ellis,Ellis VI,,
Endgame,Space station,,,,
Everus Harbor,Space station,Stanton,Hurston,,
Farro DC I,Outpost,Stanton,Crusader,Cellin,
Farro DC II,Outpost,,,,
Farro DC III,Outpost,Stanton,Crusader,Daymar,
Farro DC IV,Outpost,Stanton,Crusader,Daymar,
Farro DC IX,Outpost,Stanton,Crusader,Cellin,
Farro DC V,Outpost,,,,
Flanagan's Ravine,Outpost,Stanton,Hurston,Aberdeen,
Fool's Run,,Stanton,Crusader,Daymar,
Fortune's Cross,Space station,,,,
Gallete Family Farms,Outpost,Stanton,,Cellin,
Gaslight,Space station,,,,
G-Loc Bar,Bar,Stanton,ArcCorp,,Area18
Grand Barter Bazaar,,,,,
Green Imperial Medical,,Stanton,Crusader,Daymar,
GrimHEX,Space station,Stanton,Crusader,Yela,
Hadrian Flotilla,Space station,Hadrian,,,
HDES-Calthrope,Outpost,,,,
HDMO-Dobbs,Outpost,Stanton,Hurston,Aberdeen,
HDMS-Anderson,Outpost,Stanton,,Aberdeen,
HDMS-Bezdek,Outpost,Stanton,Crusader,Daymar,
HDMS-Edmond,Outpost,Stanton,Crusader,Daymar,
HDMS-Hadley,Outpost,Stanton,Hurston,,
HDMS-Hahn,Outpost,Stanton,,Magda,
HDMS-Lathan,Outpost,Stanton,Hurston,Aberdeen,
