Name,SCU,MaxSize,Grid32,Grid24,Grid16,Grid8,Grid4,Grid2,Grid1,Owned
100i,2,,,,,,,,,No
125a,2,,,,,,,,,No
135c,6,,,,,,,,,No
400i,42,,,,,,,,,No
600i Explorer,40,,,,,,,,,No
600i Touring,16,,,,,,,,,No
85x,0,,,,,,,,,No
890 Jump,1600,,,,,,,,,No
A2 Hercules,234,,,,,,,,,No
ANVL Crucible,230,,,,,,,,,No
ANVL_F7A,0,,,,,,,,,No
Apollo Medivac,28,,,,,,,,,No
Apollo Triage,28,,,,,,,,,No
Ares Inferno,0,,,,,,,,,No
Ares Ion,0,,,,,,,,,No
Argo Mole,69,,,,,,,,,No
Argo Mole Carbon,69,,,,,,,,,No
Argo Mole Talus,69,,,,,,,,,No
Argo MPUV Cargo,2,,,,,,,,,No
Argo MPUV Personal,0,,,,,,,,,No
Argo RAFT,96,,,,,,,,,No
ARGO SRV,0,,,,,,,,,No
Arrow,0,,,,,,,,,No
Asgard,180,,,,,,,,,No
Aurora CL,6,,,,,,,,,No
Aurora ES,0,,,,,,,,,No
Aurora LN,0,,,,,,,,,No
Aurora LX,3,,,,,,,,,No
Aurora MR,3,,,,,,,,,No
Avenger Stalker,0,,,,,,,,,No
Avenger Titan,8,,,,,,,,,No
Avenger Titan Renegade,8,,,,,,,,,No
Avenger Warlock,0,,,,,,,,,No
Ballista,0,,,,,,,,,No
Ballista Dunestalker,0,,,,,,,,,No
Ballista Snowblind,0,,,,,,,,,No
Buccaneer,0,,,,,,,,,No
C1 Spirit,64,,,,,,,,,No
C2 Hercules,696,,,,,,,,,No
C8 Pisces,0,,,,,,,,,No
C8X Pisces Expedition,4,,,,,,,,,No
Carrack,456,,,,,,,,,No
Carrack Expedition,456,,,,,,,,,No
Caterpillar,576,,,,,,,,,No
Caterpillar PE,566,,,,,,,,,No
Clipper,12,,,,,,,,,No
Constellation Andromeda,96,,,,,,,,,No
Constellation Aquila,96,,,,,,,,,No
Constellation Phoenix,80,,,,,,,,,No
Constellation Phoenix Emerald,80,,,,,,,,,No
Constellation Taurus,174,,,,,,,,,No
Corsair,72,,,,,,,,,No
Cutlass Black,46,,,,,,,,,No
Cutlass Blue,25,,,,,,,,,No
Cutlass Red,16,,,,,,,,,No
Cyclone,1,,,,,,,,,No
Cyclone-AA,0,,,,,,,,,No
Cyclone-MT,0,,,,,,,,,No
Cyclone-RC,0,,,,,,,,,No
Cyclone-RN,0,,,,,,,,,No
Cyclone-TR,0,,,,,,,,,No
Defender,0,,,,,,,,,No
Dragonfly Black,0,,,,,,,,,No
Dragonfly Yellowjacket,0,,,,,,,,,No
Eclipse,0,,,,,,,,,No
Endeavor,500,,,,,,,,,No
Esperia Blade,0,,,,,,,,,No
Esperia Glaive,0,,,,,,,,,No
F7C Hornet,2,,,,,,,,,No
F7C Hornet Wildfire,0,,,,,,,,,No
F7C-M Super Hornet,0,,,,,,,,,No
F7C-S Hornet Ghost,0,,,,,,,,,No
F7CR Hornet,0,,,,,,,,,No
Freelancer,66,,,,,,,,,No
Freelancer Dur,36,,,,,,,,,No
Freelancer Max,120,,,,,,,,,No
Freelancer MIS,28,,,,,,,,,No
Gatac Railen,0,,,,,,,,,No
Genesis Starliner,300,,,,,,,,,No
Geotack Planetary Beacon,0,,,,,,,,,No
Geotack-X Planetary Beacon,0,,,,,,,,,No
Gladiator,0,,,,,,,,,No
Gladius,0,,,,,,,,,No
Gladius Valiant,0,,,,,,,,,No
Greycat Buggy,0,,,,,,,,,No
Hammerhead,40,,,,,,,,,No
Hawk,0,,,,,,,,,No
Herald,0,,,,,,,,,No
Hornet F7C-M Heartseeker,0,,,,,,,,,No
Hull A,64,,,,,,,,,No
Hull B,512,,,,,,,,,No
Hull C,4608,,,,,,,,,No
Hull D,20736,,,,,,,,,No
Hull E,98304,,,,,,,,,No
Hurricane,0,,,,,,,,,No
Idris-M,831,,,,,,,,,No
Idris-P,995,,,,,,,,,No
Ironclad,2200,,,,,,,,,No
Ironclad Assault,1440,,,,,,,,,No
Javelin,5400,,,,,,,,,No
Khartu-Al,0,,,,,,,,,No
Kraken,3792,,,,,,,,,No
Kraken Privateer,0,,,,,,,,,No
Krueger P52 Merlin,0,,,,,,,,,No
Liberator,0,,,,,,,,,No
Lightning F8C,0,,,,,,,,,No
M2 Hercules,468,,,,,,,,,No
M80,2,,,,,,,,,No
Mantis,0,,,,,,,,,No
Merchantman,3584,,,,,,,,,No
Mercury Star Runner,114,,,,,,,,,No
Mustang Alpha,4,,,,,,,,,No
Mustang Alpha Vindicator,4,,,,,,,,,No
Mustang Beta,0,,,,,,,,,No
Mustang Delta,0,,,,,,,,,No
Mustang Gamma,0,,,,,,,,,No
Mustang Omega,0,,,,,,,,,No
Nautilus,0,,,,,,,,,No
Nautilus Solstice Edition,0,,,,,,,,,No
Nomad,24,,,,,,,,,No
Nox,0,,,,,,,,,No
Nox Kue,0,,,,,,,,,No
Odyssey,0,,,,,,,,,No
Origin 300i,8,,,,,,,,,No
