Name,Type,System,Planet,Moon,Place
2UB-RB9-5,Outpost,Stanton,microTech,,
4HJ-LVE-A,Outpost,Stanton,microTech,,
5WQ-R2V-C,Outpost,Stanton,microTech,,
8FK-Q2X-K,Outpost,Stanton,microTech,,
Aciedo Communication Station,Space station,Odin,,,
Adira Falls Apartments,Residential,Stanton,ArcCorp,,Area18
Afterlife,Outpost,Stanton,,Yela,
Aparelli,Store,Stanton,microTech,,New Babbage
ARC-L1 Wide Forest Station,Space station,Stanton,,,
ArcCorp Mining Area 045,Outpost,Stanton,,Wala,
ArcCorp Mining Area 048,Outpost,Stanton,,Wala,
ArcCorp Mining Area 056,Outpost,Stanton,,Wala,
ArcCorp Mining Area 061,Outpost,Stanton,,Wala,
ArcCorp Mining Area 141,Outpost,Stanton,,Daymar,
ArcCorp Mining Area 157,Outpost,Stanton,,Yela,
Archangel Station,Space station,Chronos,Synthworld,,
Archon Station,Space station,Odin,The Coil,,
Area04,Industrial and commercial zone,Stanton,ArcCorp,,
Area06,Industrial and commercial zone,Stanton,ArcCorp,,
Area11,Industrial and commercial zone,Stanton,ArcCorp,,
Area17,Industrial and commercial zone,Stanton,ArcCorp,,
Area18,City,Stanton,ArcCorp,,
Area18 Hospital,Hospital,Stanton,ArcCorp,,Area18
Area20,Industrial and commercial zone,Stanton,ArcCorp,,
Armor store (ARC-L1 Wide Forest Station),Store,Stanton,,,ARC-L1 Wide Forest Station
Ashburn Channel Aid Shelter,Public shelter,Stanton,,Cellin,
Aston Ridge Aid Shelter,Public shelter,Stanton,,Yela,
Astro Armada,Store,Stanton,ArcCorp,,Area18
August Dunlow Spaceport,Spaceport,Stanton,Crusader,,Orison
Aydo,City,Ellis,Green,,
Bacchus Flotilla,Space station,Bacchus,,,
Baijini Point,Space station,Stanton,ArcCorp,,
Banu Station,Space station,Trise,Trise I,,
Barton Flats Aid Shelter,Public shelter,Stanton,,Aberdeen,
Benny Henge,Landmark,Stanton,,Yela,
Benson Mining Outpost,Outpost,Stanton,,Yela,
